start_time,sat,supra_MeV_flux
2021-11-06T04:30:29.153,B,840.4255953363061
2021-11-05T03:40:43.030,B,840.4197390270922
2020-10-11T23:49:30.602,A,840.3833771801144
2020-09-04T13:40:59.971,A,840.253349077195
2020-09-25T22:56:09.751,A,840.1759248415746
2020-02-24T01:37:46.014,B,840.1717016601563
2022-08-27T15:51:26.228,B,840.1268560060199
2021-08-31T03:02:35.951,A,840.1227943211037
2021-03-05T19:15:33.179,B,840.1186522776759
2022-01-21T20:37:52.222,B,840.0946134163391
2021-04-22T11:58:30.984,A,840.0593988004747
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
0000-01-01T00:00:00,,0.0
